Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121065.1,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121088.99,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121082.12,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121049.28,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121036.19,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121088.77,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121077.46,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121071.234,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121077.71,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121080.55,15,39
Eritrea,2010,42.7,5.5,26,3.15,1.6,1.55,96.7,121040.83,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,101000,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,120982.625,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121025.33,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121004.03,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121032.61,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121057.49,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121069.59,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121065.1,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121088.99,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121082.12,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121049.28,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121036.19,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121088.77,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121077.46,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121071.234,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121077.71,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121080.55,15,39
Eritrea,2015,42.2,5.7,27.6,3.34,1.7,1.64,97,121040.83,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,101000,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,120982.625,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121025.33,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121004.03,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121032.61,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121057.49,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121069.59,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121065.1,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121088.99,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121082.12,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121049.28,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121036.19,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121088.77,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121077.46,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121071.234,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121077.71,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121080.55,15,39
Eritrea,2021,39.8,6,29.9,3.62,1.83,1.79,97.3,121040.83,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,101000,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,120982.625,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121025.33,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121004.03,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121032.61,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121057.49,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121069.59,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121065.1,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121088.99,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121082.12,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121049.28,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121036.19,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121088.77,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121077.46,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121071.234,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121077.71,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121080.55,15,39
Eritrea,2022,39.2,6.1,30.4,3.68,1.87,1.82,97.4,121040.83,15,39
Estonia,2010,15.2,23.3,30.6,1.33,0.71,0.62,87.2,42390,59,26
Estonia,2010,15.2,23.3,30.6,1.33,0.71,0.62,87.2,43470,59,26
Estonia,2010,15.2,23.3,30.6,1.33,0.71,0.62,87.2,42750,59,26
Estonia,2015,16,25.2,30.2,1.31,0.7,0.62,88,42390,59,26
Estonia,2015,16,25.2,30.2,1.31,0.7,0.62,88,43470,59,26
Estonia,2015,16,25.2,30.2,1.31,0.7,0.62,88,42750,59,26
Estonia,2021,16.5,26.8,30.6,1.33,0.7,0.63,90.2,42390,59,26
Estonia,2021,16.5,26.8,30.6,1.33,0.7,0.63,90.2,43470,59,26
Estonia,2021,16.5,26.8,30.6,1.33,0.7,0.63,90.2,42750,59,26
Estonia,2022,16.4,27,30.5,1.33,0.7,0.63,90.4,42390,59,26
Estonia,2022,16.4,27,30.5,1.33,0.7,0.63,90.4,43470,59,26
Estonia,2022,16.4,27,30.5,1.33,0.7,0.63,90.4,42750,59,26
Eswatini,2010,38.8,4.7,63.3,1.1,0.57,0.53,94.2,17200,,
Eswatini,2015,37.5,5.3,65.3,1.13,0.58,0.56,96.8,17200,,
Eswatini,2021,35,6.2,68.7,1.19,0.6,0.59,98.6,17200,,
Eswatini,2022,34.7,6.2,69.2,1.2,0.61,0.6,98.5,17200,,
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1101000,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1000000,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128597.2,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128599.8,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128613.2,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128631,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128568.4,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128588.8,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128571,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128575,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128582,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128572,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128538.2,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128539.4,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128558.5,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128552.9,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128561.4,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128570.9,8,38
Ethiopia,2010,45.1,4.4,89.2,89.24,44.32,44.92,101.3,1128571.2,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1101000,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1000000,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128597.2,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128599.8,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128613.2,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128631,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128568.4,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128588.8,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128571,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128575,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128582,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128572,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128538.2,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128539.4,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128558.5,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128552.9,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128561.4,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128570.9,8,38
Ethiopia,2015,42.5,4.6,102.5,102.47,50.91,51.56,101.3,1128571.2,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1101000,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1000000,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128597.2,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128599.8,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128613.2,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128631,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128568.4,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128588.8,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128571,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128575,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128582,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128572,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128538.2,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128539.4,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128558.5,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128552.9,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128561.4,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128570.9,8,38
Ethiopia,2021,40,4.9,120.3,120.28,59.84,60.44,101,1128571.2,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1101000,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1000000,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128597.2,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128599.8,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128613.2,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128631,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128568.4,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128588.8,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128571,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128575,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128582,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128572,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128538.2,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128539.4,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128558.5,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128552.9,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128561.4,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128570.9,8,38
Ethiopia,2022,39.6,4.9,123.4,123.38,61.4,61.98,100.9,1128571.2,8,38
Falkland Islands,2010,17.6,15.9,0.3,0,0,0,99.7,,,
Falkland Islands,2015,17.9,14.8,0.3,0,0,0,99.2,,,
Falkland Islands,2021,17.8,16.6,0.3,0,0,0,100.7,,,
Falkland Islands,2022,17.7,17.4,0.3,0,0,0,100.7,,,
Faroe Islands,2010,21.8,20.5,35,0.05,0.02,0.03,108,,62,-7
Faroe Islands,2015,21,22.8,35.2,0.05,0.02,0.03,106.8,,62,-7
Faroe Islands,2021,20.7,23.6,38.2,0.05,0.03,0.03,107.3,,62,-7
Faroe Islands,2022,20.7,23.6,38.3,0.05,0.03,0.03,107.3,,62,-7
Fiji,2010,31.1,6.9,49.5,0.91,0.44,0.46,103.5,18270,-18,175
Fiji,2015,30.2,7.8,50.2,0.92,0.45,0.46,102.1,18270,-18,175
Fiji,2021,28.9,9.5,50.6,0.92,0.46,0.46,100.6,18270,-18,175
Fiji,2022,28.6,9.7,50.9,0.93,0.46,0.47,100.5,18270,-18,175
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,304590,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,304110,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,304090,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303900,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303890,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303910,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303920,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303930,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303940,64,26
Finland,2010,16.6,24.7,17.7,5.36,2.73,2.63,96.3,303947.7,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,304590,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,304110,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,304090,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303900,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303890,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303910,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303920,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303930,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303940,64,26
Finland,2015,16.4,27,18.1,5.48,2.78,2.7,96.9,303947.7,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,304590,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,304110,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,304090,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303900,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303890,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303910,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303920,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303930,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303940,64,26
Finland,2021,15.4,29.3,18.3,5.54,2.8,2.74,97.6,303947.7,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,304590,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,304110,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,304090,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303900,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303890,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303910,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303920,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303930,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303940,64,26
Finland,2022,15.2,29.7,18.3,5.54,2.8,2.74,97.7,303947.7,64,26
France,2010,18.3,23.2,113.3,62.44,32.22,30.23,93.8,547566,46,2
France,2010,18.3,23.2,113.3,62.44,32.22,30.23,93.8,547567,46,2
France,2010,18.3,23.2,113.3,62.44,32.22,30.23,93.8,547867,46,2
France,2010,18.3,23.2,113.3,62.44,32.22,30.23,93.8,547557,46,2
France,2015,18.2,25.3,115.7,63.81,32.95,30.86,93.7,547566,46,2
France,2015,18.2,25.3,115.7,63.81,32.95,30.86,93.7,547567,46,2
France,2015,18.2,25.3,115.7,63.81,32.95,30.86,93.7,547867,46,2
France,2015,18.2,25.3,115.7,63.81,32.95,30.86,93.7,547557,46,2
France,2021,17.4,27.5,117,64.53,33.34,31.2,93.6,547566,46,2
France,2021,17.4,27.5,117,64.53,33.34,31.2,93.6,547567,46,2
France,2021,17.4,27.5,117,64.53,33.34,31.2,93.6,547867,46,2
France,2021,17.4,27.5,117,64.53,33.34,31.2,93.6,547557,46,2
France,2022,17.2,27.8,117.2,64.63,33.4,31.23,93.5,547566,46,2
France,2022,17.2,27.8,117.2,64.63,33.4,31.23,93.5,547567,46,2
France,2022,17.2,27.8,117.2,64.63,33.4,31.23,93.5,547867,46,2
France,2022,17.2,27.8,117.2,64.63,33.4,31.23,93.5,547557,46,2
French Guiana,2010,35.2,6.2,2.8,0.23,0.12,0.11,98.7,,4,-53
French Guiana,2015,33.7,7.6,3.1,0.26,0.13,0.13,99,,4,-53
French Guiana,2021,32.3,9.1,3.6,0.3,0.15,0.15,98.8,,4,-53
French Guiana,2022,32.1,9.4,3.7,0.3,0.15,0.15,98.8,,4,-53
French Polynesia,2010,25.7,9.5,77,0.28,0.14,0.15,104.8,3660,-15,-140
French Polynesia,2010,25.7,9.5,77,0.28,0.14,0.15,104.8,3471,-15,-140
French Polynesia,2015,24.1,11.3,79.2,0.29,0.14,0.15,103.6,3660,-15,-140
French Polynesia,2015,24.1,11.3,79.2,0.29,0.14,0.15,103.6,3471,-15,-140
French Polynesia,2021,21.7,14.5,82.5,0.3,0.15,0.15,102.3,3660,-15,-140
French Polynesia,2021,21.7,14.5,82.5,0.3,0.15,0.15,102.3,3471,-15,-140
French Polynesia,2022,21.3,15.2,83.1,0.31,0.15,0.15,102.2,3660,-15,-140
French Polynesia,2022,21.3,15.2,83.1,0.31,0.15,0.15,102.2,3471,-15,-140
Gabon,2010,37.4,6.1,6.6,1.71,0.85,0.87,102.4,257670,-1,11.75
Gabon,2015,36.7,5.9,7.9,2.03,0.99,1.04,104.4,257670,-1,11.75
Gabon,2021,36.4,6,9.1,2.34,1.15,1.19,103.8,257670,-1,11.75
Gabon,2022,36.3,6,9.3,2.39,1.17,1.22,103.6,257670,-1,11.75
Gambia,2010,45.7,4.2,191.4,1.94,0.98,0.96,97.9,10120,13.47,-16.57
Gambia,2015,45.4,3.8,222.6,2.25,1.13,1.12,98.6,10120,13.47,-16.57
Gambia,2021,43.5,4,260.9,2.64,1.33,1.31,99,10120,13.47,-16.57
Gambia,2022,43.1,4,267.4,2.71,1.36,1.35,99,10120,13.47,-16.57
Georgia,2010,18.7,17.8,55.2,3.84,2.03,1.8,88.6,69490,42,43.5
Georgia,2015,19.4,19.5,54.3,3.77,1.99,1.78,89.2,69490,42,43.5
Georgia,2021,21.1,20.8,54.1,3.76,1.99,1.77,88.7,69490,42,43.5
Georgia,2022,21.3,21,53.9,3.74,1.98,1.76,88.7,69490,42,43.5
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349130,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349120,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349110,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349100,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349090,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349050,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349020,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348980,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348950,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348900,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348860,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348810,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348770,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348760,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348720,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348670,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348630,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348610,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348570,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348560,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348540,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,348880,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349360,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349370,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349380,51,9
Germany,2010,13.6,25.9,233.3,81.33,41.51,39.82,95.9,349390,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349130,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349120,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349110,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349100,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349090,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349050,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349020,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348980,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348950,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348900,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348860,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348810,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348770,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348760,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348720,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348670,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348630,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348610,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348570,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348560,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348540,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,348880,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349360,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349370,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349380,51,9
Germany,2015,13.2,27.3,235.5,82.07,41.64,40.44,97.1,349390,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349130,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349120,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349110,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349100,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349090,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349050,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349020,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348980,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348950,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348900,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348860,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348810,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348770,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348760,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348720,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348670,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348630,51,9
